distance,T
0,10127.6
0.00172496,9593.65
0.00345004,9267.44
0.00517499,9074.82
0.00689995,8971.22
0.00862503,8877.92
0.01035,8789.29
0.0120749,8704.3
0.0138,8624.23
0.015525,8547.96
0.0172499,8476.84
0.018975,8412.22
0.0207,8351.69
0.0224251,8295.54
0.02415,8245.93
0.025875,8199.54
0.0276,8156.25
0.029325,8117.17
0.03105,8079.82
0.032775,8043.63
0.0345,8007.69
0.036225,7970.69
0.03795,7932.86
0.039675,7893.88
0.0414,7854.23
0.043125,7814.34
0.04485,7774.33
0.046575,7734.47
0.0483,7694.68
0.050025,7654.93
0.0517499,7614.58
0.053475,7573.44
0.0552,7531.43
0.0569251,7487.22
0.05865,7440.74
0.060375,7392.18
0.0621001,7340.29
0.063825,7284.36
0.06555,7225.27
0.067275,7162
0.069,7092.97
0.070725,7019.98
0.07245,6942.73
0.074175,6858.04
0.0759,6769.45
0.077625,6677.04
0.07935,6578.92
0.081075,6477.68
0.0828,6373.91
0.084525,6267.16
0.0862499,6158.82
0.087975,6049.59
0.0897,5939.67
0.0914249,5829.95
0.09315,5720.77
0.094875,5612.45
0.0966001,5506.15
0.098325,5401.37
0.10005,5298.17
0.101775,5198.18
0.1035,5100.26
0.105225,5004.34
0.10695,4911.69
0.108675,4821.73
0.1104,4733.93
0.112125,4649.14
0.11385,4567.32
0.115575,4487.58
0.1173,4410.36
0.119025,4336.42
0.12075,4264.44
0.122475,4194.48
0.1242,4127.8
0.125925,4062.89
0.12765,3999.73
0.129375,3939.38
0.1311,3880.88
0.132825,3823.96
0.13455,3769.28
0.136275,3716.56
0.138,3665.27
0.139725,3615.75
0.14145,3568.15
0.143175,3521.77
0.1449,3476.72
0.146625,3433.62
0.14835,3391.61
0.150075,3350.67
0.1518,3311.5
0.153525,3273.37
0.15525,3236.18
0.156975,3200.4
0.1587,3165.7
0.160425,3131.83
0.16215,3099.08
0.163875,3067.46
0.1656,3036.57
0.167325,3006.53
0.16905,2977.57
0.170775,2949.25
0.1725,2921.56
0.174225,2894.97
0.17595,2868.96
0.177675,2843.51
0.1794,2818.96
0.181125,2795.01
0.18285,2771.56
0.184575,2748.83
0.1863,2726.72
0.188025,2705.07
0.18975,2683.97
0.191475,2663.52
0.1932,2643.47
0.194925,2623.86
0.19665,2604.89
0.198375,2586.29
0.2001,2568.04
0.201825,2550.38
0.20355,2533.07
0.205275,2516.09
0.207,2499.59
0.208725,2483.48
0.21045,2467.67
0.212175,2452.24
0.2139,2437.21
0.215625,2422.43
0.21735,2407.95
0.219075,2393.86
0.2208,2380
0.222525,2366.37
0.22425,2353.15
0.225975,2340.15
0.2277,2327.36
0.229425,2314.9
0.23115,2302.68
0.232875,2290.66
0.2346,2278.91
0.236325,2267.41
0.23805,2256.09
0.239775,2244.99
0.2415,2234.16
0.243225,2223.48
0.24495,2212.98
0.246675,2202.74
0.2484,2192.66
0.250125,2182.72
0.25185,2173.03
0.253575,2163.49
0.2553,2154.09
0.257025,2144.89
0.25875,2135.85
0.260475,2126.95
0.2622,2118.2
0.263925,2109.63
0.26565,2101.17
0.267375,2092.84
0.2691,2084.7
0.270825,2076.67
0.27255,2068.74
0.274275,2061
0.276,2053.36
0.277725,2045.81
0.27945,2038.43
0.281175,2031.15
0.2829,2023.97
0.284625,2016.91
0.28635,2009.97
0.288075,2003.11
0.2898,1996.36
0.291525,1989.74
0.29325,1983.2
0.294975,1976.73
0.2967,1970.41
0.298425,1964.16
0.30015,1957.98
0.301875,1951.92
0.3036,1945.94
0.305325,1940.04
0.30705,1934.22
0.308775,1928.5
0.3105,1922.84
0.312225,1917.26
0.31395,1911.77
0.315675,1906.34
0.3174,1900.98
0.319125,1895.71
0.32085,1890.5
0.322575,1885.35
0.3243,1880.29
0.326025,1875.29
