distance,p
0,101334
0.00172496,101346
0.00345004,101360
0.00517499,101370
0.00689995,101370
0.00862503,101369
0.01035,101367
0.0120749,101367
0.0138,101368
0.015525,101369
0.0172499,101369
0.018975,101369
0.0207,101368
0.0224251,101367
0.02415,101366
0.025875,101364
0.0276,101362
0.029325,101358
0.03105,101355
0.032775,101350
0.0345,101345
0.036225,101341
0.03795,101336
0.039675,101333
0.0414,101331
0.043125,101329
0.04485,101327
0.046575,101326
0.0483,101325
0.050025,101324
0.0517499,101324
0.053475,101324
0.0552,101323
0.0569251,101323
0.05865,101323
0.060375,101323
0.0621001,101324
0.063825,101324
0.06555,101324
0.067275,101324
0.069,101325
0.070725,101325
0.07245,101325
0.074175,101325
0.0759,101326
0.077625,101326
0.07935,101326
0.081075,101326
0.0828,101326
0.084525,101326
0.0862499,101326
0.087975,101326
0.0897,101326
0.0914249,101326
0.09315,101326
0.094875,101326
0.0966001,101326
0.098325,101326
0.10005,101326
0.101775,101326
0.1035,101326
0.105225,101326
0.10695,101326
0.108675,101325
0.1104,101325
0.112125,101325
0.11385,101325
0.115575,101325
0.1173,101325
0.119025,101325
0.12075,101325
0.122475,101325
0.1242,101325
0.125925,101325
0.12765,101325
0.129375,101325
0.1311,101325
0.132825,101325
0.13455,101325
0.136275,101325
0.138,101325
0.139725,101325
0.14145,101325
0.143175,101325
0.1449,101325
0.146625,101325
0.14835,101325
0.150075,101325
0.1518,101325
0.153525,101325
0.15525,101325
0.156975,101325
0.1587,101325
0.160425,101325
0.16215,101325
0.163875,101325
0.1656,101324
0.167325,101324
0.16905,101324
0.170775,101324
0.1725,101324
0.174225,101324
0.17595,101324
0.177675,101324
0.1794,101324
0.181125,101324
0.18285,101324
0.184575,101324
0.1863,101324
0.188025,101324
0.18975,101324
0.191475,101324
0.1932,101324
0.194925,101324
0.19665,101324
0.198375,101324
0.2001,101324
0.201825,101324
0.20355,101324
0.205275,101324
0.207,101324
0.208725,101324
0.21045,101324
0.212175,101324
0.2139,101324
0.215625,101324
0.21735,101324
0.219075,101324
0.2208,101324
0.222525,101324
0.22425,101324
0.225975,101324
0.2277,101324
0.229425,101324
0.23115,101324
0.232875,101324
0.2346,101324
0.236325,101324
0.23805,101324
0.239775,101324
0.2415,101324
0.243225,101324
0.24495,101324
0.246675,101324
0.2484,101324
0.250125,101324
0.25185,101325
0.253575,101325
0.2553,101325
0.257025,101325
0.25875,101325
0.260475,101325
0.2622,101325
0.263925,101325
0.26565,101325
0.267375,101325
0.2691,101325
0.270825,101325
0.27255,101325
0.274275,101325
0.276,101325
0.277725,101325
0.27945,101325
0.281175,101325
0.2829,101325
0.284625,101325
0.28635,101325
0.288075,101325
0.2898,101325
0.291525,101325
0.29325,101325
0.294975,101325
0.2967,101325
0.298425,101325
0.30015,101325
0.301875,101325
0.3036,101325
0.305325,101325
0.30705,101325
0.308775,101325
0.3105,101325
0.312225,101325
0.31395,101325
0.315675,101325
0.3174,101325
0.319125,101325
0.32085,101325
0.322575,101325
0.3243,101325
0.326025,101325
0.32775,101325
0.329475,101325
0.3312,101325
0.332925,101325
0.33465,101325
0.336375,101325
0.3381,101325
0.339825,101325
0.34155,101325
0.343275,101325
0.345,101325
0.346725,101325
0.34845,101325
0.350175,101325
0.3519,101325
0.353625,101325
0.35535,101325
0.357075,101325
0.3588,101325
0.360525,101325
0.36225,101325
0.363975,101325
0.3657,101325
0.367425,101325
0.36915,101325
0.370875,101325
0.3726,101325
0.374325,101325
0.37605,101325
0.377775,101325
0.3795,101325
0.381225,101325
0.38295,101325
0.384675,101325
0.3864,101325
0.388125,101325
0.38985,101325
0.391575,101325
0.3933,101325
0.395025,101325
0.39675,101325
0.398475,101325
0.4002,101325
0.401925,101325
0.40365,101325
0.405375,101325
0.4071,101325
0.408825,101325
0.41055,101325
0.412275,101325
0.414,101325
0.415725,101325
0.41745,101325
0.419175,101325
0.4209,101325
0.422625,101325
0.42435,101325
0.426075,101325
0.4278,101325
0.429525,101325
0.43125,101325
0.432975,101325
0.4347,101325
0.436425,101325
0.43815,101325
0.439875,101325
0.4416,101325
0.443325,101325
0.44505,101325
0.446775,101325
0.4485,101325
0.450225,101325
0.45195,101325
0.453675,101325
0.4554,101325
0.457125,101325
0.45885,101325
0.460575,101325
0.4623,101325
0.464025,101325
0.46575,101325
0.467475,101326
0.4692,101326
0.470925,101326
0.47265,101326
0.474375,101326
0.4761,101326
0.477825,101326
0.47955,101326
0.481275,101326
0.483,101326
0.484725,101326
0.48645,101326
0.488175,101326
0.4899,101326
0.491625,101326
0.49335,101326
0.495075,101326
0.4968,101326
0.498525,101326
0.50025,101326
0.501975,101326
0.5037,101326
0.505425,101326
0.50715,101326
0.508875,101326
0.5106,101326
0.512325,101326
0.51405,101326
0.515775,101326
0.5175,101326
0.519225,101326
0.52095,101326
0.522675,101326
0.5244,101326
0.526125,101326
0.52785,101326
0.529575,101326
0.5313,101326
0.533025,101326
0.53475,101326
0.536475,101326
0.5382,101326
0.539925,101326
0.54165,101326
0.543375,101326
0.5451,101326
0.546825,101326
0.54855,101326
0.550275,101326
0.552,101326
0.553725,101326
0.55545,101326
0.557175,101326
0.5589,101326
0.560625,101326
0.56235,101326
0.564075,101326
0.5658,101326
0.567525,101326
0.56925,101326
0.570975,101326
0.5727,101326
0.574425,101326
0.57615,101326
0.577875,101326
0.5796,101326
0.581325,101326
0.58305,101326
0.584775,101326
0.5865,101326
0.588225,101326
0.58995,101326
0.591675,101326
0.5934,101326
0.595125,101326
0.59685,101326
0.598575,101326
0.6003,101326
0.602025,101326
0.60375,101326
0.605475,101326
0.6072,101326
0.608925,101326
0.61065,101326
0.612375,101326
0.6141,101326
0.615825,101326
0.61755,101326
0.619275,101326
0.621,101326
0.622725,101326
0.62445,101326
0.626175,101326
0.6279,101326
0.629625,101326
0.63135,101326
0.633075,101326
0.6348,101326
0.636525,101326
0.63825,101326
0.639975,101326
0.6417,101326
0.643425,101326
0.64515,101326
0.646875,101326
0.6486,101326
0.650325,101326
0.65205,101326
0.653775,101326
0.6555,101326
0.657225,101326
0.65895,101326
0.660675,101326
0.6624,101326
0.664125,101326
0.66585,101326
0.667575,101326
0.6693,101326
0.671025,101326
0.67275,101326
0.674475,101326
0.6762,101326
0.677925,101326
0.67965,101326
0.681375,101326
0.6831,101326
0.684825,101326
0.68655,101326
0.688275,101326
0.69,101326
0.691725,101326
0.69345,101326
0.695175,101326
0.6969,101326
0.698625,101326
0.70035,101326
0.702075,101326
0.7038,101326
0.705525,101326
0.70725,101326
0.708975,101326
0.7107,101326
0.712425,101326
0.71415,101326
0.715875,101326
0.7176,101326
0.719325,101326
